company_code,company_name_clean,company_short_name,company_group_name,active
13-01,ALLIANZ SEGUROS S.A.,ALLIANZ,ALLIANZ,TRUE
13-05,CHUBB SEGUROS COLOMBIA S.A.,CHUBB,CHUBB,TRUE
13-06,AXA COLPATRIA SEGUROS S.A.,AXA COLPATRIA,AXA COLPATRIA,TRUE
13-07,NACIONAL DE SEGUROS O NS,NACIONAL,NACIONAL,TRUE
13-08,SEGUROS CONFIANZA S.A.,CONFIANZA,CONFIANZA,TRUE
13-09,ZURICH COLOMBIA SEGUROS S.A.,ZURICH,ZURICH,TRUE
13-14,HDI SEGUROS,HDI,HDI,TRUE
13-17,COMPAÑÍA MUNDIAL DE SEGUROS S.A. SIGLA COMERCIAL SEGUROS MUNDIAL,MUNDIAL,MUNDIAL,TRUE
13-18,SEGUROS GENERALES SURA,SURA GENERALES,SURA,TRUE
13-22,SBS SEGUROS,SBS,SBS,TRUE
13-24,LA PREVISORA S.A.,PREVISORA,PREVISORA,TRUE
13-25,SEGUROS ALFA S.A.,ALFA,ALFA,TRUE
13-26,MAPFRE SEGUROS GENERALES DE COLOMBIA S.A.,MAPFRE,MAPFRE,TRUE
13-27,SEGUROS COMERCIALES BOLIVAR S.A.,BOLÍVAR,BOLÍVAR,TRUE
13-29,SEGUROS DEL ESTADO S.A.,ESTADO,ESTADO,TRUE
13-30,CESCE Ó CESCE COLOMBIA,CESCE,CESCE,TRUE
13-33,HDI SEGUROS COLOMBIA S.A.,HDI COLOMBIA,HDI,TRUE
13-41,BBVA SEGUROS COLOMBIA S.A.,BBVA SEGUROS,BBVA,TRUE
13-42,SOLUNION SEGUROS S.A.,SOLUNION,SOLUNION,TRUE
13-44,CARDIF COLOMBIA SEGUROS GENERALES S.A.,CARDIF,CARDIF,TRUE
13-45,LIBERTY SEGUROS Y LIBERTY SEGUROS COLOMBIA.,LIBERTY,LIBERTY,TRUE
13-46,COFACE COLOMBIA SEGUROS DE CRÉDITO S.A.,COFACE,COFACE,TRUE
13-47,BERKLEY COLOMBIA,BERKLEY,BERKLEY,TRUE
13-50,COLMENA SEGUROS GENERALES,COLMENA GENERALES,COLMENA,TRUE
13-51,EVEREST SEGUROS COLOMBIA,EVEREST,EVEREST,TRUE
13-52,QUÁLITAS COMPAÑÍA DE SEGUROS COLOMBIA S.A.,QUÁLITAS,QUÁLITAS,TRUE
14-01,ALLIANZ SEGUROS DE VIDA S.A.,ALLIANZ VIDA,ALLIANZ,TRUE
14-04,AXA COLPATRIA SEGUROS DE VIDA S.A.,AXA COLPATRIA VIDA,AXA COLPATRIA,TRUE
14-07,COMPAÑÍA DE SEGUROS BOLIVAR S.A.,BOLÍVAR VIDA,BOLÍVAR,TRUE
14-08,COMPAÑIA DE SEGUROS DE VIDA AURORA S.A.,AURORA VIDA,AURORA,TRUE
14-09,SKANDIA SEGUROS DE VIDA S.A.,SKANDIA,SKANDIA,TRUE
14-11,SEGUROS DE VIDA SURA,SURA VIDA,SURA,TRUE
14-13,METLIFE COLOMBIA SEGUROS DE VIDA S.A.,METLIFE,METLIFE,TRUE
14-16,PAN AMERICAN LIFE DE COLOMBIA COMPAÑÍA DE SEGUROS S.A.,PAN AMERICAN LIFE,PALIG,TRUE
14-17,VIDALFA,VIDALFA,VIDALFA,TRUE
14-19,SEGUROS DE VIDA DEL ESTADO S.A.,ESTADO VIDA,ESTADO,TRUE
14-20,GLOBAL SEGUROS DE VIDA S.A.,GLOBAL VIDA,GLOBAL,TRUE
14-23,POSITIVA COMPAÑIA DE SEGUROS S.A.,POSITIVA,POSITIVA,TRUE
14-25,RIESGOS LABORALES COLMENA O ARL COLMENA O COLMENA RIESGOS LABORALES,COLMENA ARL,COLMENA,TRUE
14-26,BBVA SEGUROS DE VIDA COLOMBIA S.A.,BBVA VIDA,BBVA,TRUE
14-29,LA EQUIDAD SEGUROS DE VIDA ORGANISMO COOPERATIVO,EQUIDAD VIDA,EQUIDAD,TRUE
14-30,MAPFRE COLOMBIA VIDA SEGUROS S.A.,MAPFRE VIDA,MAPFRE,TRUE
14-31,BMI COLOMBIA S.A.,BMI,BMI,TRUE
14-32,COLMENA SEGUROS DE VIDA,COLMENA VIDA,COLMENA,TRUE
14-33,SEGUROS COLSANITAS,COLSANITAS,COLSANITAS,TRUE
14-34,ASULADO SEGUROS DE VIDA S.A.,ASULADO,ASULADO,TRUE
14-35,EKG ASEGURADORA,EKG,EKG,TRUE
14-36,ANDINA VIDA SEGUROS,ANDINA VIDA,ANDINA,TRUE
15-01,LA EQUIDAD SEGUROS GENERALES ORGANISMO COOPERATIVO,EQUIDAD GENERALES,EQUIDAD,TRUE
15-02,SOLIDARIA,SOLIDARIA,SOLIDARIA,TRUE
