country,source,source_company,standard_company,group_name,company_type,notes,source_norm,source_company_norm,standard_company_norm,group_name_norm
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,BOLIVAR,BOLIVAR,BOLIVAR,GENERAL,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,BOLIVAR,BOLIVAR,BOLIVAR
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,BOLIVAR,BOLIVAR,BOLIVAR,GENERAL,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,BOLIVAR,BOLIVAR,BOLIVAR
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,SURAMERICANA,SURAMERICANA,SURA,GENERAL,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,SURAMERICANA,SURAMERICANA,SURA
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,SURAMERICANA,SURAMERICANA,SURA,GENERAL,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,SURAMERICANA,SURAMERICANA,SURA
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,MAPFRE,MAPFRE,MAPFRE,GENERAL,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,MAPFRE,MAPFRE,MAPFRE
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,MAPFRE,MAPFRE,MAPFRE,GENERAL,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,MAPFRE,MAPFRE,MAPFRE
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,MAPFRE GENERALES,MAPFRE GENERALES,MAPFRE,GENERAL,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,MAPFRE GENERALES,MAPFRE GENERALES,MAPFRE
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,MAPFRE GENERALES,MAPFRE GENERALES,MAPFRE,GENERAL,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,MAPFRE GENERALES,MAPFRE GENERALES,MAPFRE
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,ALLIANZ,ALLIANZ,ALLIANZ,GENERAL,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,ALLIANZ,ALLIANZ,ALLIANZ
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,ALLIANZ,ALLIANZ,ALLIANZ,GENERAL,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,ALLIANZ,ALLIANZ,ALLIANZ
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,ZURICH,ZURICH,ZURICH,GENERAL,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,ZURICH,ZURICH,ZURICH
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,ZURICH,ZURICH,ZURICH,GENERAL,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,ZURICH,ZURICH,ZURICH
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,AXA COLPATRIA,AXA COLPATRIA,AXA COLPATRIA,GENERAL,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,AXA COLPATRIA,AXA COLPATRIA,AXA COLPATRIA
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,AXA COLPATRIA,AXA COLPATRIA,AXA COLPATRIA,GENERAL,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,AXA COLPATRIA,AXA COLPATRIA,AXA COLPATRIA
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,AXA COLPATRIA GENERALES,AXA COLPATRIA GENERALES,AXA COLPATRIA,GENERAL,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,AXA COLPATRIA GENERALES,AXA COLPATRIA GENERALES,AXA COLPATRIA
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,AXA COLPATRIA GENERALES,AXA COLPATRIA GENERALES,AXA COLPATRIA,GENERAL,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,AXA COLPATRIA GENERALES,AXA COLPATRIA GENERALES,AXA COLPATRIA
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,AXA COLPATRIA VIDA,AXA COLPATRIA VIDA,AXA COLPATRIA,LIFE,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,AXA COLPATRIA VIDA,AXA COLPATRIA VIDA,AXA COLPATRIA
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,AXA COLPATRIA VIDA,AXA COLPATRIA VIDA,AXA COLPATRIA,LIFE,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,AXA COLPATRIA VIDA,AXA COLPATRIA VIDA,AXA COLPATRIA
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,ESTADO,ESTADO,ESTADO,GENERAL,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,ESTADO,ESTADO,ESTADO
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,ESTADO,ESTADO,ESTADO,GENERAL,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,ESTADO,ESTADO,ESTADO
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,EQUIDAD,EQUIDAD,EQUIDAD,GENERAL,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,EQUIDAD,EQUIDAD,EQUIDAD
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,EQUIDAD,EQUIDAD,EQUIDAD,GENERAL,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,EQUIDAD,EQUIDAD,EQUIDAD
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,SBS SEGUROS,SBS SEGUROS,SBS,GENERAL,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,SBS SEGUROS,SBS SEGUROS,SBS
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,SBS SEGUROS,SBS SEGUROS,SBS,GENERAL,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,SBS SEGUROS,SBS SEGUROS,SBS
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,CHUBB,CHUBB,CHUBB,GENERAL,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,CHUBB,CHUBB,CHUBB
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,CHUBB,CHUBB,CHUBB,GENERAL,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,CHUBB,CHUBB,CHUBB
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,HDI SEGUROS,HDI SEGUROS,HDI,GENERAL,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,HDI SEGUROS,HDI SEGUROS,HDI
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,HDI SEGUROS,HDI SEGUROS,HDI,GENERAL,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,HDI SEGUROS,HDI SEGUROS,HDI
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,SOLIDARIA,SOLIDARIA,SOLIDARIA,GENERAL,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,SOLIDARIA,SOLIDARIA,SOLIDARIA
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,SOLIDARIA,SOLIDARIA,SOLIDARIA,GENERAL,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,SOLIDARIA,SOLIDARIA,SOLIDARIA
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,PREVISORA,PREVISORA,PREVISORA,GENERAL,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,PREVISORA,PREVISORA,PREVISORA
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,PREVISORA,PREVISORA,PREVISORA,GENERAL,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,PREVISORA,PREVISORA,PREVISORA
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,MUNDIAL,MUNDIAL,MUNDIAL,GENERAL,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,MUNDIAL,MUNDIAL,MUNDIAL
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,MUNDIAL,MUNDIAL,MUNDIAL,GENERAL,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,MUNDIAL,MUNDIAL,MUNDIAL
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,BERKLEY,BERKLEY,BERKLEY,GENERAL,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,BERKLEY,BERKLEY,BERKLEY
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,BERKLEY,BERKLEY,BERKLEY,GENERAL,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,BERKLEY,BERKLEY,BERKLEY
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,CONFIANZA,CONFIANZA,CONFIANZA,GENERAL,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,CONFIANZA,CONFIANZA,CONFIANZA
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,CONFIANZA,CONFIANZA,CONFIANZA,GENERAL,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,CONFIANZA,CONFIANZA,CONFIANZA
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,ALFA,ALFA,ALFA,GENERAL,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,ALFA,ALFA,ALFA
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,ALFA,ALFA,ALFA,GENERAL,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,ALFA,ALFA,ALFA
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,LIBERTY,LIBERTY,LIBERTY,GENERAL,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,LIBERTY,LIBERTY,LIBERTY
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,LIBERTY,LIBERTY,LIBERTY,GENERAL,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,LIBERTY,LIBERTY,LIBERTY
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,CARDIF,CARDIF,CARDIF,LIFE / CREDIT,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,CARDIF,CARDIF,CARDIF
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,CARDIF,CARDIF,CARDIF,LIFE / CREDIT,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,CARDIF,CARDIF,CARDIF
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,COLMENA,COLMENA,COLMENA,GENERAL,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,COLMENA,COLMENA,COLMENA
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,COLMENA,COLMENA,COLMENA,GENERAL,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,COLMENA,COLMENA,COLMENA
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,COLMENA GENERALES,COLMENA GENERALES,COLMENA,GENERAL,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,COLMENA GENERALES,COLMENA GENERALES,COLMENA
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,COLMENA GENERALES,COLMENA GENERALES,COLMENA,GENERAL,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,COLMENA GENERALES,COLMENA GENERALES,COLMENA
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,COLMENA VIDA,COLMENA VIDA,COLMENA,LIFE,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,COLMENA VIDA,COLMENA VIDA,COLMENA
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,COLMENA VIDA,COLMENA VIDA,COLMENA,LIFE,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,COLMENA VIDA,COLMENA VIDA,COLMENA
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,GENERALI,GENERALI,GENERALI,GENERAL,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,GENERALI,GENERALI,GENERALI
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,GENERALI,GENERALI,GENERALI,GENERAL,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,GENERALI,GENERALI,GENERALI
