country,source,source_line_of_business,standard_line_of_business,lob_group,notes
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,AUTOMOVILES,AUTOS,MOTOR,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Autos,AUTOS,MOTOR,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,INCENDIO Y LUCRO CESANTE,INCENDIO Y LUCRO,PROPERTY,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Incendio y Lucro,INCENDIO Y LUCRO,PROPERTY,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,CUMPLIMIENTO,CUMPLIMIENTO,SURETY,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Cumplimiento,CUMPLIMIENTO,SURETY,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,TRANSPORTE,TRANSPORTE,MARINE / TRANSPORT,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Transporte,TRANSPORTE,MARINE / TRANSPORT,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,RESPONSABILIDAD CIVIL,RESPONSABILIDAD CIVIL,LIABILITY,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Responsabilidad Civil,RESPONSABILIDAD CIVIL,LIABILITY,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,TERREMOTO,TERREMOTO,CAT / PROPERTY,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Terremoto,TERREMOTO,CAT / PROPERTY,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,VIDA GRUPO,VIDA GRUPO,LIFE,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Vida grupo,VIDA GRUPO,LIFE,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,VIDA INDIVIDUAL,VIDA INDIVIDUAL,LIFE,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Vida individual,VIDA INDIVIDUAL,LIFE,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,SALUD,SALUD,HEALTH,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Salud,SALUD,HEALTH,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,RIESGOS LABORALES,RIESGOS LABORALES,WORKERS COMP / LABOR RISKS,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Riesgos Laborales,RIESGOS LABORALES,WORKERS COMP / LABOR RISKS,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,SOAT,SOAT,MOTOR / COMPULSORY,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Soat,SOAT,MOTOR / COMPULSORY,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,HOGAR,HOGAR,PROPERTY,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Hogar,HOGAR,PROPERTY,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,AVIACION,AVIACION,SPECIALTY,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Aviación,AVIACION,SPECIALTY,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,AGROPECUARIO,AGROPECUARIO,AGRICULTURE,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Agropecuario,AGROPECUARIO,AGRICULTURE,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,SUSTRACCION,SUSTRACCION,PROPERTY / THEFT,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Sustracción,SUSTRACCION,PROPERTY / THEFT,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,DESEMPLEO,DESEMPLEO,PERSONAL LINES,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Desempleo,DESEMPLEO,PERSONAL LINES,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,EXEQUIAS,EXEQUIAS,PERSONAL LINES,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Exequias,EXEQUIAS,PERSONAL LINES,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,MANEJO,MANEJO,SURETY / FIDELITY,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Manejo,MANEJO,SURETY / FIDELITY,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,CORRIENTE DEBIL,CORRIENTE DEBIL,ENGINEERING,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Corriente Débil,CORRIENTE DEBIL,ENGINEERING,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,SEGUROS DE CREDITO,SEGUROS DE CREDITO,CREDIT,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Seguros de Credito,SEGUROS DE CREDITO,CREDIT,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,MINAS Y PETROLEOS,MINAS Y PETROLEOS,ENERGY,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Minas y Petróleos,MINAS Y PETROLEOS,ENERGY,Mapping inicial Colombia
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,MONTAJE Y ROTURA,MONTAJE Y ROTURA,ENGINEERING,Mapping inicial Colombia
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Montaje y Rotura,MONTAJE Y ROTURA,ENGINEERING,Mapping inicial Colombia
