country,source,source_line_of_business,standard_line_of_business,lob_group,notes,source_norm,source_line_of_business_norm,standard_line_of_business_norm
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,AUTOMOVILES,AUTOS,MOTOR,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,AUTOMOVILES,AUTOS
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Autos,AUTOS,MOTOR,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,AUTOS,AUTOS
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,INCENDIO Y LUCRO CESANTE,INCENDIO Y LUCRO,PROPERTY,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,INCENDIO Y LUCRO CESANTE,INCENDIO Y LUCRO
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Incendio y Lucro,INCENDIO Y LUCRO,PROPERTY,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,INCENDIO Y LUCRO,INCENDIO Y LUCRO
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,CUMPLIMIENTO,CUMPLIMIENTO,SURETY,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,CUMPLIMIENTO,CUMPLIMIENTO
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Cumplimiento,CUMPLIMIENTO,SURETY,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,CUMPLIMIENTO,CUMPLIMIENTO
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,TRANSPORTE,TRANSPORTE,MARINE / TRANSPORT,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,TRANSPORTE,TRANSPORTE
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Transporte,TRANSPORTE,MARINE / TRANSPORT,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,TRANSPORTE,TRANSPORTE
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,RESPONSABILIDAD CIVIL,RESPONSABILIDAD CIVIL,LIABILITY,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,RESPONSABILIDAD CIVIL,RESPONSABILIDAD CIVIL
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Responsabilidad Civil,RESPONSABILIDAD CIVIL,LIABILITY,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,RESPONSABILIDAD CIVIL,RESPONSABILIDAD CIVIL
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,TERREMOTO,TERREMOTO,CAT / PROPERTY,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,TERREMOTO,TERREMOTO
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Terremoto,TERREMOTO,CAT / PROPERTY,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,TERREMOTO,TERREMOTO
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,VIDA GRUPO,VIDA GRUPO,LIFE,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,VIDA GRUPO,VIDA GRUPO
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Vida grupo,VIDA GRUPO,LIFE,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,VIDA GRUPO,VIDA GRUPO
